GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,DoublyLinkedListImpl,0,109,0,22,0,31,0,19,0,8
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,TreeNodeImpl,0,35,0,2,0,13,0,7,0,6
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,QueueImpl,0,69,0,12,0,19,0,11,0,5
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,QueueImpl.QueueNode,0,6,0,0,0,3,0,1,0,1
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,StackImpl,0,60,0,6,0,17,0,10,0,7
Cracking the Coding Interview Solutions,nl.rostykerei.cci.datastructure.impl,StackImpl.StackNode,0,10,0,0,0,5,0,2,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q07,RotateMatrixSimple,0,40,0,4,0,7,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q07,RotateMatrixRoll,0,102,0,4,0,10,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q07,RotateMatrixTranspose,0,90,0,8,0,13,0,6,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q02,CheckPermutationArray,0,53,0,8,0,11,0,6,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q02,CheckPermutationHashMap,0,63,0,4,0,10,0,6,0,4
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q02,CheckPermutationSort,0,30,0,4,0,5,0,5,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q01,IsUniqueHashSet,0,26,0,4,0,6,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q01,IsUniqueArray,0,36,0,6,0,10,0,5,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q01,IsUniqueString,0,33,0,4,0,8,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q08,FirstCommonAncestorOptimized,0,90,0,18,0,28,0,12,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q08,FirstCommonAncestorRecursive,0,90,0,26,0,23,0,16,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q08,FirstCommonAncestorSimple,0,85,0,18,0,28,0,12,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q07,BuildOrderMap,0,127,0,16,0,26,0,10,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q04,PalindromePermutationHashMap,0,69,0,8,0,12,0,7,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q04,PalindromePermutationSort,0,51,0,10,0,14,0,7,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch01.q03,URLifyImpl,0,64,0,6,0,13,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q06,SuccessorImpl,0,39,0,8,0,12,0,6,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q01,TripleStepCacheImpl,0,36,0,2,0,7,0,3,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q01,TripleStepImpl,0,55,0,6,0,10,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q05,ValidateBSTImpl,0,49,0,14,0,7,0,10,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q04,CheckBalancedImpl,0,42,0,4,0,12,0,5,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q04,CheckBalancedImpl.HeightDifferenceException,0,3,0,0,0,1,0,1,0,1
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q03,MagicIndexBinaryFast,0,59,0,6,0,12,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q03,MagicIndexBinarySearch,0,52,0,6,0,10,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q03,MagicIndexSimple,0,21,0,4,0,5,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q03,ListOfDepthsBFS,0,58,0,8,0,16,0,6,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q03,ListOfDepthsDFS,0,56,0,6,0,12,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q02,MinimalTreeImpl,0,56,0,4,0,10,0,5,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch07.q04,Car,0,5,0,0,0,2,0,2,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch07.q04,SimpleParkingLot,0,59,0,4,0,15,0,5,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch07.q04,Bus,0,5,0,0,0,2,0,2,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch07.q04,MultiLevelParkingLot,0,72,0,10,0,15,0,8,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch07.q04,Truck,0,5,0,0,0,2,0,2,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q03,DeleteMiddleNodeImpl,0,23,0,2,0,7,0,3,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q02,ReturnKthToLastImpl,0,29,0,6,0,12,0,5,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q01,RemoveDupsRunner,0,35,0,6,0,12,0,5,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q01,RemoveDupsHashSet,0,27,0,4,0,8,0,4,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q04,QueueViaStacksImpl,0,64,0,6,0,17,0,9,0,6
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q12,PathsWithSumImpl,0,59,0,6,0,14,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q03,SetOfStacksSimple,0,121,0,12,0,32,0,12,0,6
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q03,SetOfStacksFull.StackWithSize,0,28,0,0,0,7,0,3,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q03,SetOfStacksFull,0,128,0,12,0,24,0,13,0,7
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q11,RandomNodeImpl,0,139,0,20,0,37,0,17,0,7
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch04.q10,CheckSubtreeImpl,0,58,0,20,0,9,0,13,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q06,AnimalShelterWithOrder.AnimalWithOrder,0,15,0,0,0,6,0,3,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q06,AnimalShelter3Queues,0,80,0,4,0,20,0,7,0,5
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q06,AnimalShelterWithOrder,0,87,0,8,0,19,0,9,0,5
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q05,SortStackImpl,0,104,0,16,0,31,0,13,0,5
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q05,SortStackImproved,0,41,0,8,0,11,0,6,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch08.q10,PaintFillImpl,0,83,0,10,0,10,0,8,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q02,StackMinImpl,0,53,0,6,0,15,0,6,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q02,StackMinWrapperImpl.NodeWrapper,0,3,0,0,0,1,0,1,0,1
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q02,StackMinImpl.StackMinNode,0,14,0,0,0,5,0,2,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q02,StackMinWrapperImpl,0,73,0,4,0,15,0,8,0,6
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch03.q01,ThreeInOneImpl,0,127,0,10,0,22,0,11,0,6
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q07,IntersectionImpl,0,27,0,6,0,11,0,5,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q06,PalindromeEndToEnd,0,52,0,10,0,16,0,8,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q06,PalindromeRotate,0,56,0,8,0,19,0,7,0,3
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q05,SumListsImpl,0,82,0,6,0,21,0,8,0,5
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q04,PartitionImpl,0,72,0,12,0,28,0,8,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q08,LoopDetectionBackrunner,0,29,0,6,0,11,0,5,0,2
Cracking the Coding Interview Solutions,nl.rostykerei.cci.ch02.q08,LoopDetectionHashSet,0,24,0,4,0,8,0,4,0,2
